movieId,title,genres,cast,keywords,popularity,rating,poster,mood,Industry
59457,Womb (2010),Romance|Science Fiction,Eva Green|Matt Smith|Lesley Manville,obsessive love|human clone|reproductive control|medical ethics|amor obsessivo,4.0477,6.0,https://image.tmdb.org/t/p/w500/raTEzBZBflPyVhOls4PmrryvPos.jpg,Romantic,HOLLYWOOD
58857,13 Assassins (2010),Adventure|Drama|Action,Koji Yakusho|Takayuki Yamada|Yūsuke Iseya,suicide|mission|japan|assassin|samurai|immortality|swordsman|massacre|battle|samurai sword|seppuku|code of honor|ronin|kimono|jidaigeki|edo period|warrior|19th century|harakiri|bakumatsu,4.9673,7.3,https://image.tmdb.org/t/p/w500/1rebehNueIwCUNGBTdsIGASbnf2.jpg,Adrenaline,HOLLYWOOD
27581,The Other Guys (2010),Comedy|Action,Will Ferrell|Mark Wahlberg|Eva Mendes,new york city|detective|narration|sarcasm|nypd|buddy cop|ceo|buddy comedy|carjacking|jumping off a building|aftercreditsstinger|explosions,5.1614,6.324,https://image.tmdb.org/t/p/w500/wNEHNqo3MgHmj3BUiPSqqq5czcm.jpg,Adrenaline,HOLLYWOOD
23023,Tooth Fairy (2010),Comedy|Family|Fantasy,Dwayne Johnson|Stephen Merchant|Ashley Judd,fairy|ice hockey|tooth fairy|tooth|duringcreditsstinger|wings,4.4023,5.5,https://image.tmdb.org/t/p/w500/cRZvw3bPomtucIUtMHZ3qPIYtYs.jpg,Epic/Myth,HOLLYWOOD
44835,Hesher (2010),Drama,Joseph Gordon-Levitt|Natalie Portman|Devin Brochu,clerk|loss of loved one|briefs|duringcreditsstinger|young girl,4.5302,6.8,https://image.tmdb.org/t/p/w500/dD03azf3h1hUHVzVkkqJs96Kkay.jpg,Romantic,HOLLYWOOD
37834,Knight and Day (2010),Action|Comedy,Tom Cruise|Cameron Diaz|Peter Sarsgaard,"central intelligence agency (cia)|airport|inventor|kidnapping|boston, massachusetts|spy|traitor|invention|protection|betrayal|on the run|fish out of water|train|attraction|boy genius|drugged|tropical island|crash landing|airplane trip|duringcreditsstinger|motorcycle chase|seville, spain|unassuming|action comedy|lighthearted|rogue spy|salzburg, austria",4.602,6.228,https://image.tmdb.org/t/p/w500/a7JmOBMNj5erYTgt4u1mQgvHItu.jpg,Adrenaline,HOLLYWOOD
44363,Frozen (2010),Thriller,Emma Bell|Shawn Ashmore|Kevin Zegers,cold|wolf|mountain|animal attack|girlfriend|stranded|snow|best friend|boyfriend|ski resort|ski lift|eaten alive|hypothermia|frostbite|cable car|eaten by animal|skier|stuck|wolves|natural horror,4.2314,6.0,https://image.tmdb.org/t/p/w500/2J3URUnDrIpNvh0uVqINQvr4HhW.jpg,Dark,HOLLYWOOD
97375,Detective Conan: The Lost Ship in the Sky (2010),Animation|Crime|Mystery|Action,Minami Takayama|Kappei Yamaguchi|Wakana Yamazaki,detective|anime,3.8925,7.1,https://image.tmdb.org/t/p/w500/kthV4ZwXO37pfCFTbX1cHOYie4r.jpg,Adrenaline,ANIME
37056,Letters to Juliet (2010),Comedy|Drama|Romance,Amanda Seyfried|Christopher Egan|Gael García Bernal,italy|letter|romcom|romance|american abroad|boyfriend girlfriend relationship|italian stereotype|verona italy|quest|romantic,4.557,7.0,https://image.tmdb.org/t/p/w500/y9DdvY1IRNS2hWLq161hmP2gXn.jpg,Feel-Good,HOLLYWOOD
44982,13 (2010),Drama|Thriller,Sam Riley|Jason Statham|Mickey Rourke,new york city|greed|ohio|flashback|remake|revenge|russian roulette|mansion|train|police detective|drug overdose|revolver|mental hospital|death game,4.3883,5.8,https://image.tmdb.org/t/p/w500/eJAVjARKe3YBabnbhdbYWXD7Hdg.jpg,Dark,HOLLYWOOD
